occupancy_date,organization_name,occupied_beds,occupancy_rate_beds,occupancy_rate_rooms
2022-01-01,COSTI Immigrant Services,NA,NA,100
2022-01-01,COSTI Immigrant Services,NA,NA,100
2022-01-01,COSTI Immigrant Services,NA,NA,100
2022-01-01,COSTI Immigrant Services,8,100,NA
2022-01-01,COSTI Immigrant Services,NA,NA,100
2022-01-01,COSTI Immigrant Services,NA,NA,100
2022-01-01,COSTI Immigrant Services,NA,NA,100
2022-01-01,Christie Ossington Neighbourhood Centre,NA,NA,100
2022-01-01,Christie Ossington Neighbourhood Centre,NA,NA,100
2022-01-01,Christie Ossington Neighbourhood Centre,32,100,NA
2022-01-01,Christie Ossington Neighbourhood Centre,14,93.33,NA
2022-01-01,"Christie Refugee Welcome Centre, Inc.",NA,NA,100
2022-01-01,City of Toronto,NA,NA,100
2022-01-01,City of Toronto,NA,NA,100
2022-01-01,City of Toronto,NA,NA,98.67
2022-01-01,City of Toronto,12,100,NA
2022-01-01,City of Toronto,NA,NA,100
2022-01-01,City of Toronto,NA,NA,100
2022-01-01,City of Toronto,NA,NA,100
2022-01-01,City of Toronto,2,100,NA
2022-01-01,City of Toronto,NA,NA,100
2022-01-01,City of Toronto,NA,NA,100
2022-01-01,City of Toronto,NA,NA,100
2022-01-01,City of Toronto,33,94.29,NA
2022-01-01,City of Toronto,NA,NA,88.06
2022-01-01,City of Toronto,23,95.83,NA
2022-01-01,City of Toronto,NA,NA,100
2022-01-01,City of Toronto,NA,NA,85.92
2022-01-01,City of Toronto,NA,NA,50
2022-01-01,City of Toronto,NA,NA,77.36
2022-01-01,City of Toronto,NA,NA,100
2022-01-01,City of Toronto,75,96.15,NA
2022-01-01,City of Toronto,47,100,NA
2022-01-01,City of Toronto,44,88,NA
2022-01-01,City of Toronto,71,94.67,NA
2022-01-01,City of Toronto,54,96.43,NA
2022-01-01,City of Toronto,17,77.27,NA
2022-01-01,City of Toronto,8,88.89,NA
2022-01-01,City of Toronto,44,100,NA
2022-01-01,City of Toronto,13,100,NA
2022-01-01,City of Toronto,NA,NA,92.31
2022-01-01,City of Toronto,4,100,NA
2022-01-01,City of Toronto,70,95.89,NA
2022-01-01,Cornerstone Place,21,100,NA
2022-01-01,Covenant House Toronto,1,50,NA
2022-01-01,Covenant House Toronto,NA,NA,100
2022-01-01,Covenant House Toronto,28,100,NA
2022-01-01,Covenant House Toronto,27,96.43,NA
2022-01-01,Dixon Hall,44,100,NA
2022-01-01,Dixon Hall,50,100,NA
2022-01-01,Dixon Hall,NA,NA,97.84
2022-01-01,Dixon Hall,41,100,NA
2022-01-01,Dixon Hall,NA,NA,98.89
2022-01-01,Dixon Hall,NA,NA,100
2022-01-01,Dixon Hall,22,100,NA
2022-01-01,Eva's Initiatives,42,84,NA
2022-01-01,Eva's Initiatives,16,100,NA
2022-01-01,Eva's Initiatives,NA,NA,100
2022-01-01,Fife House Foundation,4,80,NA
2022-01-01,Fife House Foundation,10,90.91,NA
